,piano,unpitched,organ,string,voice,brass,reed,wind,pitched,guitar,synth,cent,roll,flat,contrast,flux,bw,yin
46,0,0,0,0,0,0,0,0,1,0,0,395.7427333,602.9296875,1.25E-06,28.25113328,0.491562605,626.2963528,74.11977291
47,0,0,0,0,0,0,0,0,1,0,0,379.4590132,592.1630859,1.45E-06,25.1252794,0.267475218,633.7462466,74.20822499
48,0,0,0,0,0,0,0,0,1,0,0,391.4221442,602.9296875,1.51E-06,25.90315309,0.342496127,650.4228125,74.42660349
49,0,0,0,0,0,0,0,0,1,0,0,395.3215464,645.9960938,1.60E-06,31.25036635,0.445124418,662.6970353,74.55268822
50,0,0,0,0,0,0,0,0,1,0,0,378.5244263,613.6962891,1.66E-06,31.0740686,0.637779415,676.781587,74.44080263
51,0,0,0,0,0,0,0,0,1,0,0,371.0350829,592.1630859,1.99E-06,28.16127628,0.859320045,701.559909,74.4448231
52,0,0,0,0,0,0,0,0,1,0,0,382.154839,592.1630859,4.23E-06,26.65278755,0.289622545,761.2242819,74.11085244
53,0,0,0,0,0,0,0,0,1,0,0,794.8216909,1507.324219,7.65E-05,25.29872828,0.416041553,1173.928074,73.76803288
54,0,0,0,0,0,0,0,0,1,0,0,1213.687154,2153.320313,0.000590894,25.84215713,0.752796054,1249.340426,145.7376733
55,0,0,0,0,0,0,0,0,1,0,0,1101.050128,2153.320313,1.88E-04,26.07450516,7.618607998,1159.103378,74.12838521
56,0,0,0,0,0,0,0,0,1,0,0,697.8594755,1216.625977,5.87E-06,22.66283632,10.57663727,850.208037,73.9876495
57,0,0,0,0,0,0,0,0,1,0,0,506.0069587,893.6279297,8.53E-07,27.64854293,0.919411659,645.0242168,73.71399303
58,0,0,0,0,0,0,0,0,1,0,0,421.991667,882.8613281,3.90E-07,22.45105349,0.199520782,569.2822602,220.7531892
59,0,0,0,0,0,0,0,0,1,0,0,380.8303789,667.5292969,3.11E-07,23.20390956,0.209388629,517.8539335,220.5980449
60,0,0,0,0,0,0,0,0,1,0,0,357.3140514,344.53125,3.24E-07,25.53757983,0.106030524,497.7243484,219.7137953
61,0,0,0,0,0,0,0,0,1,0,0,350.0640434,258.3984375,3.67E-07,27.27105349,0.333328426,496.468919,220.7529855
62,0,0,0,0,0,0,0,0,1,0,0,364.9628563,376.8310547,4.00E-07,27.23308571,0.463329107,524.8313407,221.3076751
63,0,0,0,0,0,0,0,0,1,0,0,366.3487711,409.1308594,3.20E-07,23.95679996,0.56128937,523.2685549,220.0082339
64,0,0,0,0,0,0,0,0,1,0,0,357.9531394,247.6318359,3.42E-07,24.24903047,0.745182753,520.2303887,220.6708046
65,0,0,0,0,0,0,0,0,1,0,0,341.2847921,236.8652344,3.45E-07,20.7207049,0.561451674,493.7659641,221.4963423
66,0,0,0,0,0,0,0,0,1,0,0,327.4270248,236.8652344,2.87E-07,24.80084221,0.315373063,474.9114283,220.4147341
67,0,0,0,0,0,0,0,0,1,0,0,317.0415861,236.8652344,2.36E-07,23.57864826,0.584618807,462.6934255,219.9737428
68,0,0,0,0,0,0,0,0,1,0,0,313.8382775,236.8652344,2.27E-07,24.12510494,0.405090034,464.9248035,221.1854983
69,0,0,0,0,0,0,0,0,1,0,0,311.4437678,236.8652344,2.48E-07,20.51472933,0.294973463,458.224092,220.9591466
70,0,0,0,0,0,0,0,0,1,0,0,313.9464849,236.8652344,2.62E-07,27.02849263,0.385666698,465.8162211,219.9593909
71,0,0,0,0,0,0,0,0,1,0,0,315.154259,236.8652344,3.55E-07,20.99414084,0.363765538,480.2154422,220.8996585
72,0,0,0,0,0,0,0,0,1,0,0,322.9897493,236.8652344,7.11E-07,25.97247852,0.654126823,515.7979674,221.1117076
73,0,0,0,0,0,0,0,0,1,0,0,1188.766925,2433.251953,0.00034991,27.24088068,0.558296442,1460.622761,220.0096663
74,0,0,0,0,0,0,0,0,1,0,0,1348.731326,2497.851563,0.000775318,24.4391318,0.656188965,1492.57484,73.12554814
75,0,0,0,0,0,0,0,0,1,0,0,1047.197937,2476.318359,1.49E-04,16.48036209,17.44254303,1328.817983,227.7196512
76,0,0,0,0,0,0,0,0,1,0,0,485.8491454,667.5292969,1.64E-06,37.39221022,5.908699512,735.1441862,247.039851
77,0,0,0,0,0,0,0,0,1,0,0,410.3641007,258.3984375,5.54E-07,20.0286814,0.28987813,614.7174294,245.4681501
78,0,0,0,0,0,0,0,0,1,0,0,348.43267,258.3984375,2.54E-07,21.18536445,0.163211673,487.8501795,244.7658512
79,0,0,0,0,0,0,0,0,1,0,0,342.7100607,258.3984375,2.30E-07,22.84738126,0.209284484,475.6273684,246.1753963
80,0,0,0,0,0,0,0,0,1,0,0,340.7682295,258.3984375,2.68E-07,29.28522117,0.148624465,485.5649163,245.5175649
81,0,0,0,0,0,0,0,0,1,0,0,351.4380188,258.3984375,3.19E-07,19.0348094,0.267011881,500.7341172,245.749449
82,0,0,0,0,0,0,0,0,1,0,0,362.4960194,258.3984375,3.43E-07,16.74556846,0.545140266,524.2642961,246.8231345
83,0,0,0,0,0,0,0,0,1,0,0,349.2767609,258.3984375,2.73E-07,22.53117881,0.862027764,499.455192,244.7662511
84,0,0,0,0,0,0,0,0,1,0,0,341.9063173,258.3984375,2.68E-07,17.06807534,0.569474339,496.5421326,246.9755968
85,0,0,0,0,0,0,0,0,1,0,0,889.4755618,990.5273438,0.000298011,16.25668776,0.387773812,1869.940372,246.7239717
86,0,0,0,0,0,0,0,0,1,0,0,1394.7123,3025.415039,0.003202621,6.52213556,0.129987389,2398.48073,245.7195517
3,0,0,0,0,0,0,1,0,0,0,0,1332.809135,2487.084961,7.59E-05,13.94615752,0.847226262,1090.54601,69.40518038
4,0,0,0,0,0,0,1,0,0,0,0,1424.105142,2497.851563,0.000110827,9.110060339,0.244147912,1126.233287,69.40500907
5,0,0,0,0,0,0,1,0,0,0,0,1568.455391,2508.618164,0.000235107,13.09968157,0.393551558,1179.183676,69.43259481
6,0,0,0,0,0,0,1,0,0,0,0,1522.821604,2497.851563,0.000355664,11.29124346,0.607600152,1226.231916,69.46080204
