,piano,unpitched,organ,string,voice,brass,reed,wind,pitched,guitar,synth,cent,roll,flat,contrast,flux,bw,yin
23,0,0,0,0,0,0,0,0,1,0,0,-1.267416344,-0.963357365,-0.283019142,2.138420886,-0.730982096,-1.298719572,-0.447269191
24,0,0,0,0,0,0,0,0,1,0,0,-1.292948489,-1.018541353,-0.283016314,1.355464853,-0.261482628,-1.280099286,-0.448047939
25,0,0,0,0,0,0,0,0,1,0,0,-1.311151217,-1.113142477,-0.283083247,1.412464306,-0.210462021,-1.247252775,-0.490790248
26,0,0,0,0,0,0,0,0,1,0,0,-1.332463612,-1.325995005,-0.283101159,1.185777087,-0.534192279,-1.227681323,-0.487674728
27,0,0,0,0,0,0,0,0,1,0,0,-1.362430676,-1.325995005,-0.283166206,1.464656637,-0.657361416,-1.279302113,-0.485600221
28,0,0,0,0,0,0,0,0,1,0,0,-1.40766621,-1.333878432,-0.283188831,1.294261061,-0.700353916,-1.328378595,-0.492143932
29,0,0,0,0,0,0,0,0,1,0,0,-1.411583043,-1.333878432,-0.283203915,0.871875958,-0.689901235,-1.329240019,-0.48948961
30,0,0,0,0,0,0,0,0,1,0,0,-1.398839046,-1.333878432,-0.283209571,1.774458113,-0.623561303,-1.313542117,-0.493890171
31,0,0,0,0,0,0,0,0,1,0,0,-1.405479905,-1.333878432,-0.283192602,2.690869699,-0.608597476,-1.302052082,-0.495877442
32,0,0,0,0,0,0,0,0,1,0,0,-1.408035282,-1.333878432,-0.283153008,1.087474917,-0.602465105,-1.243700618,-0.495510217
33,0,0,0,0,0,0,0,0,1,0,0,-0.570458813,-0.42728433,-0.277675829,0.481685493,-0.565138574,-0.692939691,-0.495090865
34,0,0,0,0,0,0,0,0,1,0,0,-0.01387005,-0.190781522,-0.249881642,-0.114578848,-0.576666565,-0.711178228,-0.492311196
35,0,0,0,0,0,0,0,0,1,0,0,-0.11296192,-0.379983769,-0.268173253,-0.172503892,7.820876047,-0.793910285,3.1668652
36,0,0,0,0,0,0,0,0,1,0,0,-0.494420102,-0.529768881,-0.28198404,1.076807143,7.203922035,-1.037396203,-0.224461344
37,0,0,0,0,0,0,0,0,1,0,0,-0.810868064,-0.537652308,-0.283060622,1.79946056,-0.064261442,-1.168579827,-0.645330212
38,0,0,0,0,0,0,0,0,1,0,0,-1.045050092,-0.545535735,-0.283231254,0.876747266,-0.768302132,-1.253134488,-0.223937572
39,0,0,0,0,0,0,0,0,1,0,0,-1.17337953,-0.971240792,-0.283254821,0.762771121,-0.811815825,-1.330789295,-0.646614142
40,0,0,0,0,0,0,0,0,1,0,0,-1.285577982,-1.191976747,-0.283275373,1.774466327,-0.812169757,-1.415837184,-0.6471403
41,0,0,0,0,0,0,0,0,1,0,0,-1.327208407,-1.191976747,-0.283280086,1.929189389,-0.728151236,-1.434280021,-0.64797991
42,0,0,0,0,0,0,0,0,1,0,0,-1.310483523,-1.191976747,-0.283257932,1.129886985,-0.651868581,-1.390289476,-0.23072653
43,0,0,0,0,0,0,0,0,1,0,0,-1.276146034,-1.18409332,-0.283250108,1.141597789,-0.486308655,-1.34861453,-0.646530829
44,0,0,0,0,0,0,0,0,1,0,0,-1.237169001,-1.168326466,-0.283235024,1.639133783,-0.180092076,-1.296897052,-0.645310265
45,0,0,0,0,0,0,0,0,1,0,0,-1.262072762,-1.18409332,-0.283234082,2.046567737,-0.366532618,-1.313391108,-0.645139067
46,0,0,0,0,0,0,0,0,1,0,0,-1.2807765,-1.18409332,-0.283233139,1.285332667,-0.499660547,-1.30952261,-0.645968728
47,0,0,0,0,0,0,0,0,1,0,0,-1.306309395,-1.191976747,-0.283214285,0.792965128,-0.654069514,-1.296255257,-0.645465146
48,0,0,0,0,0,0,0,0,1,0,0,-1.28755119,-1.18409332,-0.283208628,0.91549157,-0.602375837,-1.266556326,-0.644221856
49,0,0,0,0,0,0,0,0,1,0,0,-1.281436922,-1.152559612,-0.283200144,1.757755584,-0.531659102,-1.244697431,-0.643504021
50,0,0,0,0,0,0,0,0,1,0,0,-1.307774829,-1.176209893,-0.283194488,1.729986119,-0.398908841,-1.219614562,-0.644141017
51,0,0,0,0,0,0,0,0,1,0,0,-1.319518129,-1.191976747,-0.283163378,1.27117888,-0.246254735,-1.175487391,-0.644118127
52,0,0,0,0,0,0,0,0,1,0,0,-1.302082337,-1.191976747,-0.28295221,1.033569922,-0.638808745,-1.069232416,-0.646019514
53,0,0,0,0,0,0,0,0,1,0,0,-0.655020155,-0.521885454,-0.276139202,0.820285854,-0.551698851,-0.334257271,-0.647971281
54,0,0,0,0,0,0,0,0,1,0,0,0.001761458,-0.048879836,-0.227646462,0.905883817,-0.319655829,-0.199957065,-0.238228218
55,0,0,0,0,0,0,0,0,1,0,0,-0.174853552,-0.048879836,-0.26562792,0.942482018,4.411279464,-0.360658248,-0.645919696
56,0,0,0,0,0,0,0,0,1,0,0,-0.80705704,-0.734737982,-0.282797604,0.405094457,6.44953003,-0.910763195,-0.646720943
57,0,0,0,0,0,0,0,0,1,0,0,-1.107882046,-0.971240792,-0.283270565,1.190415906,-0.204848192,-1.276170567,-0.648278945
58,0,0,0,0,0,0,0,0,1,0,0,-1.239618137,-0.979124219,-0.283314213,0.371735575,-0.700893989,-1.411057758,0.188855855
59,0,0,0,0,0,0,0,0,1,0,0,-1.304159092,-1.136792758,-0.28332166,0.490321378,-0.694094481,-1.502645339,0.187972576
60,0,0,0,0,0,0,0,0,1,0,0,-1.341032725,-1.373295567,-0.283320435,0.857908454,-0.765314099,-1.538493676,0.182938298
61,0,0,0,0,0,0,0,0,1,0,0,-1.352400748,-1.436362983,-0.283316381,1.130955818,-0.608692905,-1.540729443,0.188854696
62,0,0,0,0,0,0,0,0,1,0,0,-1.329039389,-1.349645286,-0.28331327,1.124975339,-0.519115035,-1.490219427,0.192012697
63,0,0,0,0,0,0,0,0,1,0,0,-1.326866273,-1.325995005,-0.283320812,0.608912588,-0.451614837,-1.493002558,0.184614619
64,0,0,0,0,0,0,0,0,1,0,0,-1.340030635,-1.44424641,-0.283318738,0.654943152,-0.324901827,-1.498413162,0.188386817
65,0,0,0,0,0,0,0,0,1,0,0,-1.366166626,-1.452129837,-0.283318455,0.099180456,-0.451503,-1.545543076,0.193086831
66,0,0,0,0,0,0,0,0,1,0,0,-1.387895624,-1.452129837,-0.283323923,0.741861542,-0.621065172,-1.579120706,0.186928937
67,0,0,0,0,0,0,0,0,1,0,0,-1.404180005,-1.452129837,-0.28332873,0.549348184,-0.435539526,-1.60087948,0.184418251
68,0,0,0,0,0,0,0,0,1,0,0,-1.409202798,-1.452129837,-0.283329579,0.635423075,-0.559245071,-1.596905667,0.191317111
69,0,0,0,0,0,0,0,0,1,0,0,-1.412957392,-1.452129837,-0.283327599,0.066736302,-0.635121658,-1.608838818,0.190028428
70,0,0,0,0,0,0,0,0,1,0,0,-1.409033128,-1.452129837,-0.283326279,1.092748947,-0.572628856,-1.595318161,0.184336542
71,0,0,0,0,0,0,0,0,1,0,0,-1.407139337,-1.452129837,-0.283317512,0.142250601,-0.587720002,-1.569674904,0.189689745
72,0,0,0,0,0,0,0,0,1,0,0,-1.394853278,-1.452129837,-0.283283951,0.926411336,-0.387644546,-1.506306764,0.190897
73,0,0,0,0,0,0,0,0,1,0,0,-0.037313495,0.156089265,-0.250364406,1.12620316,-0.453677134,0.176311018,0.184622774
74,0,0,0,0,0,0,0,0,1,0,0,0.213510902,0.203389827,-0.210260518,0.684886882,-0.386223613,0.233213775,-0.651629124
75,0,0,0,0,0,0,0,0,1,0,0,-0.25929386,0.187622973,-0.269304512,-0.568735332,11.18052997,-0.058417225,0.22851785
76,0,0,0,0,0,0,0,0,1,0,0,-1.139489524,-1.136792758,-0.283196373,2.725185499,3.233055174,-1.115677887,0.338513089
77,0,0,0,0,0,0,0,0,1,0,0,-1.257850176,-1.436362983,-0.283298752,-0.00982333,-0.638632632,-1.330143261,0.329564961
78,0,0,0,0,0,0,0,0,1,0,0,-1.354958743,-1.436362983,-0.283327034,0.172371106,-0.725913032,-1.556078367,0.32556658
79,0,0,0,0,0,0,0,0,1,0,0,-1.363931803,-1.436362983,-0.283329296,0.434162975,-0.694166242,-1.577845704,0.33359151
